"Year","Month","Day","00:00","00:30","01:00","01:30","02:00","02:30","03:00","03:30","04:00","04:30","05:00","05:30","06:00","06:30","07:00","07:30","08:00","08:30","09:00","09:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","20:30","21:00","21:30","22:00","22:30","23:00","23:30"
2020,2,19,5918.91647739579,5789.87417532432,5687.60621698115,5613.19563243452,5587.48436469583,5512.43294104818,5517.44147649797,5489.03524677129,5511.25589493461,5579.61820381594,5717.35659118469,5845.48519716624,6074.12543287137,6292.45311291122,6466.7655179052,6519.0918131627,6517.9179638059,6432.63621051662,6395.51409494723,6345.88377435096,6332.23625393378,6390.17661422972,6413.03161762335,6475.39336860215,6577.5265095013,6705.25030847181,6869.27747996777,7054.05241674895,7229.21784930618,7385.44260104699,7578.8588933428,7865.17128433985,8164.17279373569,8404.43803680491,8461.21176002439,8453.97187086567,8381.33934120642,8456.31438239167,8417.32525577604,8324.9399733421,8113.15531086539,7841.53405346727,7626.60970994101,7424.50804329601,7138.00224710159,6901.85966509103,6573.53504743112,6311.71067916865
2020,2,20,6079.10925492756,5960.25885818033,5830.12682241888,5757.28427327881,5713.29686843143,5665.31097362259,5631.28279280226,5601.29586440708,5624.65682710555,5672.59927059482,5838.26461048557,5990.35226659137,6244.0585523653,6449.11516305516,6650.95527526912,6728.88926462376,6758.08864709867,6780.96457243677,6760.33380361136,6712.35739688154,6724.17712333598,6792.66950988579,6851.11587238151,6868.03256472758,6807.10383646194,6838.97475407049,6980.74006428037,7070.46324848656,7241.29709662898,7277.03210601563,7423.99311960489,7742.62555438542,7963.47383141447,8185.43446469106,8300.4901016975,8304.76018923807,8270.9058264996,8410.26305191119,8335.55704457879,8161.55182188503,7972.24126644873,7672.91629381906,7412.72810088313,7152.36881529599,6939.6765600465,6728.78597761383,6413.2112873914,6153.56917013472
2020,2,21,5972.10071414011,5852.66679256242,5791.35181947716,5739.34879175352,5661.99381731371,5611.22601390295,5583.90573888454,5562.05063463865,5598.74562915737,5636.17965666088,5772.15029046552,5909.44162239017,6145.34337950904,6327.6005382694,6477.02280333416,6447.23553441461,6394.01782526994,6366.16703273221,6355.42861266328,6261.53580128649,6161.7765105044,6143.3969709617,6155.75935583648,6192.85530288073,6378.42991535295,6583.59353362963,6510.74512407892,6415.5586653097,6386.99501440278,6442.93649733314,6638.30291875187,6912.29731278204,7055.92187085591,7206.46735329565,7266.04930704188,7277.52930051769,7275.09912815898,7356.64357541274,7348.67995750132,7231.94952723018,7060.64899989092,6889.50542090347,6688.52622016637,6500.06479831259,6362.19671454969,6236.16028313329,5997.47153052343,5760.5750530173
2020,2,22,5591.0549564344,5484.51418510484,5406.15588537058,5315.44815812871,5288.51028710007,5238.75366157265,5223.25860473213,5200.60750343436,5178.24087866392,5201.71733694621,5234.38869549974,5236.22459971637,5309.20504727077,5333.56599285763,5376.85010711173,5342.71056972614,5331.74802567354,5271.72728713353,5255.83861007989,5200.61510928509,5192.27361299356,5183.32459514073,5170.34657665426,5230.80141449057,5252.7421963463,5339.78272390603,5459.44917864735,5506.59902902983,5595.16462159778,5725.49324107748,5859.72365009531,6073.60055701087,6265.95169446781,6469.25600900817,6617.5739749368,6717.41616063138,6838.51039460364,6951.58720898834,6930.37804175794,6823.20497565433,6672.28470343648,6497.47836042801,6374.56559930323,6238.51858886917,6177.98880299866,6081.91657177964,5869.63679222346,5672.91723482351
2020,2,23,5522.3989155226,5375.76326878395,5312.96598785369,5274.88264959641,5243.25569610849,5180.98302258161,5161.09607057081,5108.85156181427,5111.74574460618,5104.48416096889,5179.7872823891,5159.53190941954,5160.98932592901,5128.54670691762,5137.52301692465,5071.81403704888,5045.49676141504,5127.7014355394,5232.22665318121,5247.42770715927,5273.32630302949,5246.70607806222,5249.33652823721,5167.29983856336,5013.81348258992,5027.6902310669,4988.02444748321,5051.85067835581,5175.60092157816,5324.91951434718,5476.43150563057,5712.97823892183,5922.95468947781,6210.01243937708,6420.3652230486,6580.45012547699,6735.41481181478,6915.60642539184,6865.10933239619,6726.50567852162,6596.26080508256,6406.27818340213,6256.0667343896,6096.55389448179,5994.31728090082,5899.73621229237,5703.50558833546,5483.47866028351
2020,2,24,5348.56934749822,5216.10903583009,5132.157683031,5077.50181567564,5066.23024237374,5048.77620536064,5031.24584679448,5045.83537787892,5081.80126101622,5167.32667949733,5329.71497576282,5503.00474017278,5769.34442519652,5954.47717520357,6099.07317096266,6076.05109567519,6038.38646384416,6008.27273861194,5887.18944380624,5784.98741810517,5816.05756474223,5767.09110065591,5640.03079823919,5618.57321263544,5657.38946595375,5734.36472172821,5781.02947327868,5883.9902330704,6038.45001501806,6095.05861558817,6176.0383966413,6317.54250113076,6434.3323431859,6609.44807153976,6747.76560944534,6844.43401118469,6939.95568925126,7086.88030720327,7067.61246977845,6932.70876914217,6786.3392088743,6580.01926163043,6437.5370297652,6279.22575877864,6126.19973638399,6010.43361835523,5809.45482366162,5606.25317304698
2020,2,25,5449.61666866124,5320.00061722674,5254.5845647164,5177.61450673544,5143.38528390122,5131.79768069518,5123.26260695112,5134.19815818569,5157.67253985438,5204.77601541831,5381.91065651745,5525.90388662229,5788.77830328507,6003.46299714456,6155.14273417054,6095.33053336217,6007.91278382235,5958.67018801133,5838.28192405827,5763.2116501681,5775.35854036672,5708.16668350475,5695.18337524372,5758.29224061296,5723.76190304133,5688.42210713356,5660.69686634455,5742.15531683875,5864.80579301433,5911.10448186868,6029.25081674949,6157.87496729897,6291.72513399375,6494.28619774136,6613.3412417598,6704.09695568106,6826.94625065443,7048.93897746486,7077.7605404945,6952.22570716635,6802.44572693262,6578.52400906862,6451.80507286807,6313.98730308868,6166.00307726013,6023.37108638483,5820.07408809292,5597.10269088657
2020,2,26,5462.82088705795,5330.97123564307,5245.81376803881,5193.23219122589,5151.70524620707,5144.28665854666,5118.86419811627,5122.93897935726,5152.98669986837,5241.14907287234,5400.50711019155,5518.55937439053,5729.93170213041,5893.93446553776,6002.15717278211,5924.24870980347,5838.93946436163,5837.71315673676,5778.91105932266,5683.20026968862,5708.93885844778,5721.64890958578,5692.70309285452,5755.00158680206,5806.12592604299,5807.36289388223,5791.19317454696,5854.27764581914,5964.74768275508,5987.43021370453,6099.80657682338,6224.95319273177,6351.54964398283,6528.79037550253,6628.02414468099,6759.1298931434,6853.95775330941,7044.10037457917,6988.92109782269,6889.60051487904,6735.95650016858,6531.48586800938,6386.09448056231,6232.96955655394,6110.62333075465,5981.56626827747,5773.66406637736,5540.37280352577
2020,2,27,5402.8900934507,5280.93902273655,5187.7675083117,5146.3428278099,5122.37643785968,5095.01171107709,5061.99140383259,5085.90150653309,5129.05353584626,5189.26582655229,5334.69711914668,5511.55513376977,5775.45346352338,5990.9582062043,6125.11683283725,6139.27841658068,6031.21697909003,5958.23240284633,5880.59113337443,5720.17173882807,5665.07609377032,5718.82194706628,5658.16880252802,5678.69533052794,5574.63709569836,5613.88889187121,5712.21625499152,5801.60896939053,5878.9726282209,5979.25432503161,6050.68907936253,6178.46845483211,6277.14298485901,6468.55030342618,6627.33023343187,6764.55088699189,6905.74612468704,7098.50442250034,7062.07526855332,6975.79865280674,6842.60469562558,6617.83021317017,6431.08188908212,6238.78054640168,6105.81640483291,6033.25811945923,5806.11769482133,5591.85341029399
2020,2,28,5463.28198882213,5315.91711943623,5245.33096241141,5171.62426882112,5132.54878834596,5100.38822741133,5122.30989720636,5122.63485783495,5179.78836335676,5238.60565739088,5414.64286574801,5534.74909268253,5774.60963371442,5978.66467515951,6139.05241533856,6088.98357643167,6003.41234939834,5815.24604778233,5932.73814798811,5860.25988596709,5811.36235392661,5825.5659866843,5731.56454302502,5783.42181069905,5773.48754091504,5783.20528403416,5815.9317508488,5862.03725986005,5893.09099829852,6019.14431166717,6120.30687099195,6258.18903790168,6414.17639594704,6565.18939308629,6577.42794521721,6589.93930406692,6673.18740850889,6817.90170997418,6774.68518230367,6700.34108059236,6572.4118417025,6409.82450092444,6258.44855795261,6103.34831211916,6005.35002497107,5916.8248330891,5739.91222634272,5530.44507470891
